Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2005-07,0.0271,0.0542,0.06559999999999999,0.058899999999999994,0.0432,0.0608,0.0313,0.0298,0.0583,0.037200000000000004,0.0174,0.038599999999999995
2005-08,0.0008,-0.0287,-0.0042,0.0581,-0.0338,-0.0038,-0.012,0.0125,-0.055999999999999994,-0.0031,-0.014499999999999999,-0.0206
2005-09,0.0037,-0.0434,0.0109,0.0726,0.0031,0.006999999999999999,-0.0147,0.0438,-0.018000000000000002,-0.019299999999999998,0.011699999999999999,0.0124
2005-10,-0.015,-0.0521,-0.0318,-0.1016,-0.0060999999999999995,-0.0177,-0.030299999999999997,-0.06849999999999999,0.0154,-0.0326,0.025099999999999997,-0.0132
2005-11,0.009899999999999999,0.022099999999999998,0.066,0.0101,0.027000000000000003,0.0653,0.0264,-0.0022,0.0394,0.0159,0.0449,0.056799999999999996
2005-12,-0.0007000000000000001,-0.006500000000000001,0.0155,0.0044,0.012,-0.0196,-0.0173,0.0124,-0.0059,0.024,0.0031,0.0
2006-01,0.001,0.0579,0.0625,0.12539999999999998,0.028999999999999998,0.039900000000000005,0.038599999999999995,0.030299999999999997,0.020099999999999996,0.0219,0.0129,0.023
2006-02,0.0115,-0.0038,0.013500000000000002,-0.0814,0.0031,-0.0101,0.033,0.0023,0.013999999999999999,0.0105,0.016,-0.002
2006-03,0.0124,0.026600000000000002,0.0436,0.04,0.0011,0.028900000000000002,0.018000000000000002,-0.0365,0.024300000000000002,-0.0101,0.0064,0.043
2006-04,0.0105,0.0028000000000000004,0.0475,0.0452,0.0258,-0.011399999999999999,0.0147,0.0182,-0.0158,-0.018600000000000002,0.0281,0.0085
2006-05,0.0106,0.0063,-0.0344,-0.0346,-0.0313,-0.069,0.0,0.0151,-0.0187,-0.022000000000000002,-0.036000000000000004,-0.0215
2006-06,0.003,0.0187,-0.0063,0.0273,-0.002,-0.014199999999999999,0.029500000000000002,0.0242,0.0029,-0.0011,-0.0043,-0.0025
2006-07,0.0355,-0.0301,-0.0454,0.0506,-0.016,-0.0381,0.024399999999999998,0.0483,-0.0429,0.0412,0.0138,-0.053
2006-08,0.030600000000000002,0.023700000000000002,0.0034000000000000002,-0.032400000000000005,0.0584,0.07429999999999999,0.022799999999999997,0.022799999999999997,0.0222,0.0233,0.015,0.022400000000000003
2006-09,-0.006500000000000001,0.042199999999999994,0.019799999999999998,-0.0381,0.0168,0.0363,0.0366,-0.0212,0.056900000000000006,0.015300000000000001,0.0359,0.024300000000000002
2006-10,0.0281,0.0496,0.0454,0.052000000000000005,0.0417,0.0409,0.052000000000000005,0.0536,0.0392,0.017,0.020099999999999996,0.0484
2006-11,0.014499999999999999,0.018000000000000002,0.0463,0.0859,0.0125,0.030699999999999998,0.0063,0.030600000000000002,-0.0123,0.0007000000000000001,0.009000000000000001,0.0292
2006-12,0.0202,-0.008100000000000001,0.0005,-0.019299999999999998,0.015,-0.0095,0.0433,0.0073,0.0146,0.0013,0.0375,0.0207
2007-01,0.0154,0.0291,0.032799999999999996,-0.013300000000000001,0.028999999999999998,0.019799999999999998,0.0273,0.0048,0.0364,0.0351,0.0037,0.024
2007-02,-0.0149,-0.004,0.009300000000000001,-0.0212,0.0022,-0.0235,-0.0278,0.0416,-0.0068000000000000005,-0.0285,-0.0252,-0.018500000000000003
2007-03,0.0265,-0.011000000000000001,0.02,0.059000000000000004,0.0087,0.0087,0.0231,0.0433,0.008,-0.0025,-0.0037,-0.0003
2007-04,0.0362,0.0621,0.054000000000000006,0.0513,0.0232,0.0487,0.0174,0.0392,0.022799999999999997,0.0678,0.0364,0.0265
2007-05,0.0288,0.0317,0.0617,0.07150000000000001,0.0172,0.039,0.0731,0.011899999999999999,0.0236,0.011399999999999999,0.0281,0.0388
2007-06,-0.0106,0.018799999999999997,-0.0059,0.0086,-0.0088,0.0053,-0.018000000000000002,-0.0482,-0.0197,-0.0337,-0.0368,-0.0102
2007-07,-0.0415,-0.057999999999999996,-0.0006,-0.011000000000000001,0.0005,-0.0103,-0.0311,-0.0373,-0.053200000000000004,-0.04019999999999999,-0.07429999999999999,-0.01
2007-08,0.0182,-0.0179,-0.002,0.0023,0.027000000000000003,0.0288,-0.0086,0.0184,0.015300000000000001,0.0232,0.0161,0.0045000000000000005
2007-09,0.04,0.0172,0.05,0.0784,0.064,0.04190000000000001,0.020499999999999997,0.0348,-0.006500000000000001,0.0354,0.0189,0.0398
2007-10,0.0218,0.0095,0.0043,0.0279,0.0217,0.0678,-0.0218,0.06559999999999999,0.011699999999999999,0.0141,-0.0144,0.0338
2007-11,0.0085,-0.08960000000000001,-0.0408,-0.0434,0.0040999999999999995,-0.0756,-0.0625,-0.0070999999999999995,-0.0373,0.0001,-0.062,-0.055099999999999996
2007-12,-0.0101,-0.0216,0.0069,0.077,0.0163,0.0147,-0.0025,0.009000000000000001,-0.0268,-0.0395,-0.041299999999999996,-0.0233
2008-01,-0.0519,-0.052000000000000005,-0.0748,-0.0911,-0.0732,-0.1242,-0.07780000000000001,-0.0693,-0.004699999999999999,-0.0461,-0.011200000000000002,-0.0362
2008-02,-0.0013,-0.06,-0.0017000000000000001,0.0694,0.026099999999999998,-0.0359,-0.0385,-0.030299999999999997,-0.04650000000000001,-0.009300000000000001,-0.1081,-0.0271
2008-03,0.0118,-0.0414,-0.0087,-0.028900000000000002,0.0128,0.0070999999999999995,-0.0005,0.008100000000000001,0.018500000000000003,-0.0177,-0.0393,0.0124
2008-04,-0.0115,0.06559999999999999,0.063,0.1063,0.026600000000000002,0.065,0.0462,0.0639,0.0501,0.0043,0.055099999999999996,0.0033
2008-05,0.0338,0.013300000000000001,0.042,0.042800000000000005,0.0149,0.056900000000000006,0.0479,0.0359,0.011899999999999999,0.016200000000000003,-0.042300000000000004,0.0060999999999999995
2008-06,-0.07339999999999999,-0.195,-0.10800000000000001,0.0282,-0.058899999999999994,-0.0888,-0.1092,-0.0040999999999999995,-0.0809,-0.0301,-0.1754,-0.1036
2008-07,0.0226,-0.0066,-0.0206,-0.1566,0.0331,-0.0060999999999999995,-0.030899999999999997,-0.071,0.011399999999999999,0.0675,0.0721,0.002
2008-08,0.0172,0.0166,0.0148,-0.0004,0.0131,0.024,0.04,-0.0046,0.053899999999999997,0.0177,0.0039000000000000003,0.0115
2008-09,-0.0296,-0.08990000000000001,-0.1582,-0.12119999999999999,-0.0924,-0.1251,-0.1261,-0.1184,-0.0576,-0.059500000000000004,-0.048799999999999996,-0.0858
